AD9744_LFCSP,U,,
Pin,Type,Name,Side
1,input,DB7,left
2,input,DB6,left
3,power_in,DVDD,left
4,input,DB5,left
5,input,DB4,left
6,input,DB3,left
7,input,DB2,left
8,input,DB1,left
9,input,DB0,bottom
10,power_in,DCOM,bottom
11,power_in,CLKVDD,bottom
12,input,CLK+,bottom
13,input,CLK-,bottom
14,power_in,CLKCOM,bottom
15,input,CMODE,bottom
16,input,MODE,bottom
17,power_in,AVDD,right
18,power_in,AVDD,right
19,power_in,ACOM,right
20,output,IOUTB,right
21,output,IOUTA,right
22,power_in,ACOM,right
23,bidirectional,REFIO,right
24,bidirectional,FSADJ,right
25,input,SLEEP,top
26,power_in,DCOM,top
27,input,DB13,top
28,input,DB12,top
29,input,DB11,top
30,input,DB10,top
31,input,DB9,top
32,input,DB8,top
