AD9744_TSSOP,U,,
Pin,Type,Name,Side
1,input,DB13,left
2,input,DB12,left
3,input,DB11,left
4,input,DB10,left
5,input,DB9,left
6,input,DB8,left
7,input,DB7,left
8,input,DB6,left
9,input,DB5,left
10,input,DB4,left
11,input,DB3,left
12,input,DB2,left
13,input,DB1,left
14,input,DB0,left
15,input,SLEEP,right
16,input,REFLO,right
17,bidirectional,REFIO,right
18,bidirectional,FSADJ,right
19,no_connect,NC,right
20,power_in,ACOM,right
21,output,IOUTB,right
22,output,IOUTA,right
23,bidirectional,RESERVED,right
24,power_in,AVDD,right
25,input,MODE,right
26,power_in,DCOM,right
27,power_in,DVDD,right
28,input,CLOCK,right
